"","ibge_code","ibge_name","taxes_2010","taxes_2014","gdp_2010","gdp_2014","pop_2010","pop_2014","taxes_per_capita","taxes_per_gdp","taxes_growth","gdp_growth","pop_growth","Center","Left","Right","Total","delta"
"68",4201307,"Araquari",95574.126,370909.175,532599.842,1557838.102,24814,31030,11.9532444408637,0.238092247534462,0.403562674392349,0.307766843027013,0.0574777770524801,20,7003,4653,11676,0.201267557382665
"69",1703867,"Cariri do Tocantins",9482.023,26331.048,63926.721,186583.527,3754,4116,6.39724198250729,0.141122040210977,0.290897575361309,0.307066600932657,0.0232818579127236,0,1480,488,1968,0.504065040650406
"70",3157708,"Santa Juliana",22061.043,79654.804,253145.387,730872.796,11343,12702,6.27104424500079,0.108985865168253,0.378467347040766,0.303520738038527,0.0286936146691883,2,3763,2644,6409,0.174598221251365
"71",5101852,"Bom Jesus do Araguaia",4446.428,10579.415,61477.871,177485.329,5231,5889,1.79647053829173,0.0596072647784877,0.241974266223807,0.303499623773969,0.0300639986196853,0,1429,1213,2642,0.0817562452687358
"72",4122701,"Sabáudia",15170.478,28218.501,126607.464,359577.307,6095,6524,4.32533736971183,0.0784768683970371,0.167840866932027,0.298175000345694,0.0171501338982039,0,1474,2647,4121,-0.28463965057025
"73",3133600,"Itapeva",15565.151,56264.713,123770.367,350724.461,8673,9338,6.02534943242664,0.160424262509594,0.378861648762042,0.297440183330147,0.0186409493001543,0,2215,2789,5004,-0.114708233413269
"74",3157203,"Santa Bárbara",25756.881,36760.747,253836.052,716525.424,27850,29888,1.22995004684154,0.051304176751724,0.0930065489454164,0.296192711534538,0.0178128129060118,11,10567,6184,16762,0.26148430974824
"75",3300258,"Arraial do Cabo",39160.278,41329.352,400093.657,1120688.939,27770,28866,1.43176581445299,0.0368785222747701,0.0135687392589283,0.293691887658755,0.00972400653750838,11,13583,4438,18032,0.507153948535936
"76",3113503,"Carbonita",2501.519,3534.855,52832.271,147035.321,9158,9487,0.372599873511121,0.0240408561423143,0.0902898007924422,0.291607620471671,0.00886269975149179,0,3149,2013,5162,0.220069740410694
"77",5107248,"Santa Carmem",5762.853,12517.399,73059.492,202438.535,4075,4256,2.94111818609023,0.061833084298896,0.214001262971995,0.290191375361074,0.0109239870802684,1,1013,1230,2244,-0.0967023172905526
"78",2920601,"Maragogipe",10182.133,44998.109,197614.144,547471.468,42815,45928,0.979753287754746,0.0821926102640293,0.449902752947867,0.290137105872287,0.0177014572263841,3,19622,3889,23514,0.669090754444161
"79",5102702,"Canarana",40334.376,89611.014,327534.976,905555.782,18701,19948,4.49223049929818,0.0989569232301583,0.220875875843006,0.289479318933854,0.0162688927198549,2,3233,5498,8733,-0.259361044314668
"80",4303558,"Camargo",3044.064,12493.076,52326.678,144403.813,2591,2710,4.60999114391144,0.0865148623187672,0.423324420377678,0.288884123941285,0.0112894333879665,0,796,967,1763,-0.0969937606352808
"81",5106802,"Porto dos Gaúchos",6468.443,14441.745,83928.088,231179.316,5448,5361,2.69385282596531,0.0624698837676291,0.222376463805766,0.288280435032938,-0.00401642350909326,0,1170,1568,2738,-0.14536157779401
"82",3156403,"Romaria",1744.193,4208.269,83561.545,230110.287,3601,3664,1.14854503275109,0.0182880524589498,0.246313325306912,0.2881973256813,0.00434537943604951,0,1709,704,2413,0.416493990882719
